date,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_hazardous,miss_distance_km,relative_velocity_kph
2019-01-13,2528859,528859 (2009 CR5),22.21,0.0960627415,0.2148028201,False,55070750.00206436,30271.54664736
2019-01-13,3102731,(2002 AB2),23.28,0.0586887658,0.1312320699,False,21730879.045076063,57400.7753619191
2019-01-13,3136724,(2002 RS129),22.91,0.0695913044,0.1556108872,False,51571509.127093038,75629.192294597
2019-01-13,3253644,(2004 SB1),20.53,0.208235599,0.4656289548,False,58200624.116862641,58640.7423354829
2019-01-13,3297353,(2005 UG5),24.3,0.0366906138,0.0820427065,False,17005745.573932708,14377.6403017405
2019-01-13,3693145,(2014 TJ33),23.12,0.0631764148,0.1412667581,False,26140896.421296148,36387.0214482089
2019-01-13,3756796,(2016 OZ2),20.91,0.1748054532,0.3908768761,False,51966955.47842041,81805.8609648752
2019-01-13,3759353,(2016 RU33),27.5,0.008405334,0.0187948982,False,28881074.218257099,23505.8452902134
2019-01-13,3797456,(2018 AN2),24.8,0.0291443905,0.0651688382,False,9643270.813784654,42427.8162295542
2019-01-13,3825662,(2018 NR4),20.16,0.2469192656,0.5521282628,False,67109262.067435357,110402.3216911165
2019-01-13,3837594,(2019 AR2),24.4,0.0350392641,0.0783501764,False,2921683.037618363,17352.7045054459
2019-01-13,3837777,(2019 AJ8),23.24,0.0597798714,0.1336718562,False,27977171.694255475,47835.9511065065
2019-01-13,3837878,(2019 AK12),27.5,0.008405334,0.0187948982,False,749458.445962761,54983.2985036446
2019-01-13,3837863,(2019 AU11),24.84,0.0286124454,0.0639793729,False,12773498.05435507,29348.9359926723
2019-01-13,3837879,(2019 AL12),23.9,0.04411182,0.0986370281,False,21225141.978246718,49383.7323457662
2019-01-13,3837926,(2019 BK),21.04,0.1646474378,0.3681628631,True,10719878.887655189,72712.3110014534
2019-01-13,3838938,(2019 DF2),20.9,0.1756123185,0.3926810818,False,45065304.151229684,88114.690004926
2019-01-13,3968760,(2019 YP5),22.45,0.086011194,0.1923268766,False,48640218.061555416,35094.2481574569
2019-01-13,54100193,(2020 XD5),19.81,0.2901048414,0.648694146,True,74414727.936645728,108318.2446672016
2019-01-13,54236581,(2022 AT5),27.7,0.0076657557,0.0171411509,False,26175173.616691591,50068.0433469643
2019-01-12,3604307,(2012 KC6),21.64,0.1248978541,0.2792800919,False,55191016.337371756,53933.9941659719
2019-01-12,3837532,(2018 YU2),26.5,0.0133215567,0.0297879063,False,2152456.0409636,16383.8332012946
2019-01-12,3837597,(2019 AX2),24.68,0.0308003021,0.0688715693,False,6731860.153266433,79422.2334177851
2019-01-12,3837607,(2019 AK3),27.0,0.0105816886,0.023661375,False,1872807.072813327,38412.8104573638
2019-01-12,3837793,(2019 AC9),25.73,0.0189913123,0.0424658654,False,1588788.141443336,36254.1362503957
2019-01-12,3837799,(2019 AE9),27.2,0.0096506147,0.0215794305,False,99646.647534029,69201.122084554
2019-01-12,3837862,(2019 AT11),25.36,0.0225193047,0.050354696,False,13312139.322288785,21714.7900825185
2019-01-12,3837919,(2019 AT13),26.9,0.0110803882,0.0247765013,False,1205969.346322664,19323.1146791854
2019-01-12,3843915,(2019 SQ1),27.6,0.0080270317,0.0179489885,False,45574429.490136233,23589.6528268567
2019-01-12,54110059,(2021 CX),28.0,0.0066765941,0.0149293183,False,31803705.975647428,23807.5409616747
2019-01-12,54137806,(2021 GL16),26.28,0.0147419515,0.0329640056,False,26047414.088633552,19399.792077387
2019-01-12,54193840,(2021 RV4),25.24,0.0237987955,0.0532157244,False,53323545.959133661,26310.722275574
2019-01-12,54279837,(2022 KR),26.96,0.0107784169,0.0241012728,False,54983017.972167972,62750.6859107488
2019-01-11,3655738,(2013 YW102),23.6,0.0506471459,0.1132504611,False,37919571.961223932,38016.0046278788
2019-01-11,3669146,(2014 HS46),23.01,0.0664591797,0.1486072436,False,63836299.848909913,17456.6505929793
2019-01-11,3678629,(2014 OM339),21.45,0.1363185559,0.3048175575,True,51774245.342340211,79156.4147387816
2019-01-11,3766993,(2017 BB6),27.1,0.0101054342,0.0225964377,False,48587660.440279796,69425.1859693784
2019-01-11,3766966,(2017 BS5),24.24,0.0377185489,0.0843412394,False,38116630.832586096,32957.5245363258
